agency_nbr,agency,status
496,Gifford Police Dept,Active
497,Gilberts Police Dept,Active
498,Gillespie Police Dept,Active
499,Gilman Police Dept,Active
500,Girard Police Dept,Active
501,Gladstone Police Dept,Active
502,Glasford Police Dept,Active
503,Glen Carbon Police Dept,Active
504,Glen Ellyn Police Dept,Active
505,Glencoe Dept Public Safety,Active
506,Glendale Heights Police Dept,Active
507,Glenview Police Dept,Active
508,Glenwood Police Dept,Active
509,Godley Police Dept,Inactive
510,Golconda Police Dept,Active
511,Golden Police Dept,Inactive
512,Golf Police Dept,Active
513,Goodfield  Police Department,Inactive
514,Goreville Police Dept,Active
515,Gorham Police Dept,Inactive
516,Governors State Univ Police Dept,Active
517,Grafton Police Dept,Active
518,Grand Ridge Police Dept,Active
519,Grand Tower Police Dept,Active
520,Grandview Police Dept,Active
521,Granite City Police Dept,Active
522,Grant Park Police Department,Active
523,Grantfork Police Department,Active
524,Granville Police Dept,Active
525,Grayslake Police Dept,Active
526,Grayville Police Dept,Active
527,Great Lakes Police Dept,Inactive
528,Greater Peoria Airport Auth Police,Inactive
529,Greater Rockford Airport Police,Inactive
530,Green Rock Police Dept,Inactive
531,Green Valley Police Dept,Active
532,Greene Co Circuit Clerk,Active
533,Greene Co Coroner's Office,Inactive
534,Greene Co State's Attorney,Active
535,Greene County Sheriff's Office,Active
536,Greenfield Police Dept,Active
537,Greenup Police Dept,Active
538,Greenview Police Dept,Active
539,Greenville Police Dept,Active
540,Gridley Police Dept,Inactive
541,Griggsville Police Dept,Inactive
542,Grundy Co Circuit Clerk,Active
543,Grundy Co Coroner's Office,Inactive
544,Grundy Co State's Attorney,Active
545,Grundy County Sheriff's Office,Active
546,Gulfport Police Dept,Active
547,Gurnee Police Dept,Active
548,Hainesville Police Dept,Inactive
549,Hamel Police Dept,Active
550,Hamilton Co Circuit Clerk,Active
551,Hamilton Co Coroner's Office,Inactive
552,Hamilton Co State's Attorney,Active
553,Hamilton County Sheriff's Office,Active
554,Hamilton Police Dept,Active
555,Hampshire Police Dept,Active
556,Hampton Police Dept,Active
557,Hancock Co Circuit Clerk,Active
558,Hancock Co Coroner's Office,Inactive
559,Hancock Co State's Attorney,Inactive
560,Hancock County Sheriff's Office,Active
561,Hanna City Police Dept,Inactive
562,Hanover Park Police Dept,Active
563,Hanover Police Dept,Active
564,Hardin Co Circuit Clerk,Active
565,Hardin Co Coroner's Office,Inactive
566,Hardin Co State's Attorney,Active
567,Hardin County Sheriff's Office,Active
568,Hardin Police Dept,Active
569,Harper College Police Dept,Active
570,Harrisburg Police Department,Active
571,Hartford Police Dept,Active
572,Harvard Police Dept,Active
573,Harvel Police Dept,Inactive
574,Harvey Bomb & Arson,Inactive
575,Harvey Police Dept,Active
576,Harwood Heights Police Dept,Active
577,Havana Police Dept,Active
578,Hawthorn Woods Police Dept,Active
579,Hawthorne Park Dist Police Dept,Inactive
580,Hazel Crest Police Dept,Active
581,Hebron Police Dept,Active
582,Hecker Police Dept,Inactive
583,Henderson Co Circuit Clerk,Active
584,Henderson Co Coroner's Office,Inactive
585,Henderson Co State's Attorney,Inactive
586,Henderson County Sheriff's Office,Active
587,Hennepin Police Dept,Inactive
588,Henning Police Dept,Active
589,Henry Co Circuit Clerk,Inactive
590,Henry Co Coroner's Office,Inactive
591,Henry Co State's Attorney,Active
592,Henry County Sheriff's Office,Active
593,Henry Police Dept,Active
594,Herrick Police Dept,Inactive
595,Herrin Police Dept,Active
596,Herscher Police Dept,Active
597,Heyworth Police Dept,Active
598,Hickory Hills Police Dept,Active
599,Highland Park Police Dept,Active
600,Highland Police Dept,Active
601,Highwood Police Dept,Active
602,Hillcrest Police Dept,Inactive
603,Hillsboro Police Dept,Active
604,Hillsdale Police Dept,Inactive
605,Hillside Police Dept,Active
606,Hinckley Police Dept,Active
607,Hindsboro Police Dept,Active
608,Hinsdale Police Dept,Active
609,Hodgkins Police Dept,Active
610,Hoffman Estates Police Dept,Active
611,Holiday Hills Police Dept,Active
612,Hollowayville/Seatonville Police,Inactive
613,Homer Police Dept,Active
614,Hometown Police Dept,Active
615,Homewood Police Dept,Active
616,Hoopeston Police Dept,Active
617,Hopedale Police Dept,Active
618,Hopkins Park Police Department,Inactive
619,Hudson Police Dept,Active
620,Huey Police Dept,Inactive
621,Humboldt Police Dept,Inactive
622,Hume Police Dept,Active
623,Huntley Police Dept,Active
624,Hurst Police Dept,Active
625,Hutsonville Police Department,Active
626,I & M Rail Link LLC Police,Inactive
627,Illinois Dept of CMS,Inactive
628,Illinois Dept of Fin. & Profess Reg,Inactive
